dataset,family,pipeline,pipeline_id,rep_index,algorithm,t_total,t_build,t_config,t_cpgm,t_classify,t_context,t_score_ip,t_score_if,t_score_ir,t_report,ip_score,ip_passed,ip_total,ip_full,ip_none,if_score,if_passed,if_total,if_scored_1,if_scored_0,if_undefined,if_undefined_rate,ir_score,ir_passed,ir_total,ir_full,ir_partial,ir_local,fairness_passed
bsbm_100k,rdf2pg,cdm,20260703T132252Z,0,rdf2pg_cdm,41.05956,7.71489,0.0018,22.99175,4.97709,7.7149,0.20551,0.49251,0.21237,4.46281,0.94904,False,100075,94975,5100,0.87124,False,133177,107153,15836,10188,0.0765,0.56575,False,115228,15153,100075,0,False
bsbm_100k,rdf2pg,cdm,20260703T132252Z,1,rdf2pg_cdm,42.1583,7.7555,0.00175,23.90191,4.83748,7.75551,0.18709,0.51799,0.25473,4.701,0.94904,False,100075,94975,5100,0.87124,False,133177,107153,15836,10188,0.0765,0.56575,False,115228,15153,100075,0,False
bsbm_100k,rdf2pg,cdm,20260703T132252Z,2,rdf2pg_cdm,42.83716,7.50278,0.00177,24.25602,4.7105,7.50279,0.21414,0.50609,0.21916,5.42584,0.94904,False,100075,94975,5100,0.87124,False,133177,107153,15836,10188,0.0765,0.56575,False,115228,15153,100075,0,False
bsbm_100k,rdf2pg,gdm,20260703T131707Z,0,rdf2pg_gdm,113.90661,7.79104,0.00208,93.49668,5.40814,7.79105,0.08378,0.5702,0.4871,6.06666,0.94904,False,100075,94975,5100,0.08157,False,133177,10032,112957,10188,0.0765,1.0,True,167363,167363,0,0,False
bsbm_100k,rdf2pg,gdm,20260703T131707Z,1,rdf2pg_gdm,112.36705,7.85838,0.00194,91.743,5.45143,7.85841,0.08934,0.57575,0.4772,6.16903,0.94904,False,100075,94975,5100,0.08157,False,133177,10032,112957,10188,0.0765,1.0,True,167363,167363,0,0,False
bsbm_100k,rdf2pg,gdm,20260703T131707Z,2,rdf2pg_gdm,112.00246,7.7566,0.002,90.50123,5.10406,7.75662,0.08424,0.57614,0.45817,7.51906,0.94904,False,100075,94975,5100,0.08157,False,133177,10032,112957,10188,0.0765,1.0,True,167363,167363,0,0,False
bsbm_100k,kg2pg,nonparsi,20260703T132810Z,0,kg2pg,112.56407,10.09001,0.00204,88.81609,5.3891,10.09002,0.08351,0.57771,0.53626,7.06843,1.0,True,100075,100075,0,0.31667,False,133177,42173,91004,0,0.0,0.76758,False,224282,172155,0,52127,False
bsbm_100k,kg2pg,nonparsi,20260703T132810Z,1,kg2pg,113.68404,10.1765,0.0019,89.98472,5.36803,10.17651,0.08268,0.57142,0.5442,6.95366,1.0,True,100075,100075,0,0.31667,False,133177,42173,91004,0,0.0,0.76758,False,224282,172155,0,52127,False
bsbm_100k,kg2pg,nonparsi,20260703T132810Z,2,kg2pg,115.0212,10.39463,0.00263,90.99283,5.16908,10.39464,0.07745,0.62481,0.54501,7.21378,1.0,True,100075,100075,0,0.31667,False,133177,42173,91004,0,0.0,0.76758,False,224282,172155,0,52127,False
bsbm_100k,kg2pg,parsi,20260703T132506Z,0,kg2pg,57.59101,8.38097,0.00199,39.04061,4.44056,8.38098,0.07514,0.47251,0.28669,4.89163,1.0,True,100075,100075,0,0.7663,False,133177,102053,31124,0,0.0,0.96084,True,130228,125128,0,5100,False
